course ID, name, length, teacher, possible days, possible start time
A104,Vector and Tensor Calculus,120,Fried,,
A202,Fluid Dynamics,60,Mitarai,,
A212,Microfluidics,120,Shen,,
A213,Inorganic Electrochemistry,120,Khusnutdinova,,
A216,Quantum Mechanics I,120,Konstantinov,,
A219,General Relativity,120,Neiman,,
A313,Cognitive Neurorobotics,120,Tani,,
A314,Neurobiology of Learning and Memory,90,Wickens,,
B22,Computational Methods,120,Doya,,
B25,Statistical Mechanics,120,Toriumi,,
B26,Introduction to Neuroscience,120,Fukunaga,,
B27,Molecular Biology of the Cell,120,Kono,,
JP1,Japanese 1,60,Language Section,,
PD1,Professional Development,120,Skoglund,,
PD2,Professional Development,120,Arbuthnott,,
SA,Student Activities,60,\,,
