Day,Start time,End time,Course ID,Room
Monday,9:00,12:00,B08,L4E01
Monday,10:00,12:00,A105,B712
Monday,10:00,12:00,B37,B700
Monday,13:00,15:00,A214,B714a
Monday,13:00,15:00,A102,B700
Monday,15:00,17:00,A310,B711
Monday,15:00,17:00,B13,B700
Monday,15:00,16:30,A225,L4F01
Tuesday,9:00,12:00,A306,B700
Tuesday,10:00,12:00,B08,L4E01
Tuesday,13:00,15:00,B20,B712/B506
Tuesday,13:00,15:00,A218,B711
Tuesday,14:00,17:00,A208,L4F15
Tuesday,15:00,17:00,B31/B32,B711
Tuesday,15:00,17:00,A273,B700
Wednesday,10:00,12:00,A405,B700
Wednesday,9:00,11:00,A307,B711
Wednesday,10:00,12:00,A214,B714a
Wednesday,10:00,12:00,A105,B712
Wednesday,13:00,15:00,A405,B506
Wednesday,13:00,14:00,A307,C015
Wednesday,13:00,15:00,B22,B700
Wednesday,15:00,17:00,B31/B32,B711
Wednesday,15:00,17:00,A273,B700
Thursday,10:00,12:00,B37,B700
Thursday,9:00,11:00,A410,B714b
Thursday,13:00,15:00,A102,B700
Thursday,13:00,16:00,A410,Unit Lab
Thursday,13:00,15:00,A218,B711
Thursday,15:00,17:00,B13,B700
Thursday,15:00,17:00,A208,B712
Thursday,16:00,17:00,A310,B711
Friday,10:00,12:00,A303,B711
Friday,10:00,12:00,B20,B712/B506
Friday,10:30,12:00,ST3,B700
Friday,13:00,15:00,B22,B700
Friday,13:00,15:00,B11,B711
Friday,13:00,15:00,ST1,L4F15
Friday,15:00,17:00,PCD,B700
Friday,15:00,16:30,A225,L4F01
Friday,16:00,17:00,A273,B700
